Chromosome	Begin	End	Size	Direction	Feature
chrI	0	2051	2051	NA	beginChrI_<unnanotated
chrI	2051	2413	362	-	unannotated
chrI	2414	7480	5066	NA	<unannotated_<unannotated
chrI	7481	9262	1781	-	unannotated
chrI	9263	11810	2547	NA	<unannotated_<unannotated
chrI	11811	14780	2969	-	unannotated
chrI	14781	24634	9853	NA	<unannotated_<FLO9
chrI	24635	28603	3968	-	FLO9
chrI	28604	32201	3597	NA	<FLO9_>GDH3
chrI	32202	33575	1373	+	GDH3
chrI	33576	34082	506	NA	>GDH3_>BDH2
chrI	34083	35336	1253	+	BDH2
chrI	35337	35789	452	NA	>BDH2_>BDH1
chrI	35790	36938	1148	+	BDH1
chrI	36939	37143	204	NA	>BDH1_>ECM1
chrI	37144	37782	638	+	ECM1
chrI	37783	38098	315	NA	>ECM1_>CNE1
chrI	38099	39607	1508	+	CNE1
chrI	39608	39893	285	NA	>CNE1_>GPB2
chrI	39894	42536	2642	+	GPB2
chrI	42537	42811	274	NA	>GPB2_>PEX22
chrI	42812	43354	542	+	PEX22
chrI	43355	43515	160	NA	>PEX22_<ACS1
chrI	43516	45657	2141	-	ACS1
chrI	45658	46533	875	NA	<ACS1_>FLC2
chrI	46534	48885	2351	+	FLC2
chrI	48886	49198	312	NA	>FLC2_>OAF1
chrI	49199	52342	3143	+	OAF1
chrI	52343	52489	146	NA	>OAF1_<YAL049C
chrI	52490	53230	740	-	YAL049C
chrI	53231	53435	204	NA	<YAL049C_<GEM1
chrI	53436	55424	1988	-	GEM1
chrI	55425	55623	198	NA	<GEM1_<SPC72
chrI	55624	57492	1868	-	SPC72
chrI	57493	57663	170	NA	<SPC72_<YAL046C
chrI	57664	58020	356	-	YAL046C
chrI	58021	58152	131	NA	<YAL046C_>YAL044W-A
chrI	58153	58485	332	+	YAL044W-A
chrI	58486	58584	98	NA	>YAL044W-A_<GCV3
chrI	58585	59118	533	-	GCV3
chrI	59119	59329	210	NA	<GCV3_<PTA1
chrI	59330	61687	2357	-	PTA1
chrI	61688	61950	262	NA	<PTA1_>ERV46
chrI	61951	63198	1247	+	ERV46
chrI	63199	63474	275	NA	>ERV46_>CDC24
chrI	63475	66039	2564	+	CDC24
chrI	66040	66412	372	NA	>CDC24_<CLN3
chrI	66413	68155	1742	-	CLN3
chrI	68156	69350	1194	NA	<CLN3_<CYC3
chrI	69351	70160	809	-	CYC3
chrI	70161	72458	2297	NA	<CYC3_>CDC19
chrI	72459	73961	1502	+	CDC19
chrI	73962	74692	730	NA	>CDC19_>YAL037W
chrI	74693	75496	803	+	YAL037W
chrI	75497	75715	218	NA	>YAL037W_<RBG1
chrI	75716	76825	1109	-	RBG1
chrI	76826	77099	273	NA	<RBG1_>FUN12
chrI	77100	80108	3008	+	FUN12
chrI	80109	80390	281	NA	>FUN12_>MTW1
chrI	80391	81260	869	+	MTW1
chrI	81261	81382	121	NA	>MTW1_<FUN19
chrI	81383	82774	1391	-	FUN19
chrI	82775	83378	603	NA	<FUN19_>POP5
chrI	83379	83900	521	+	POP5
chrI	83901	84007	106	NA	>POP5_<PRP45
chrI	84008	85147	1139	-	PRP45
chrI	85148	85421	273	NA	<PRP45_<GIP4
chrI	85422	87704	2282	-	GIP4
chrI	87705	87958	253	NA	<GIP4_>SNC1
chrI	87959	88060	352	+	SNC1
chrI	88061	88173	112	NA	>SNC1_intron_>SNC1
chrI	88174	88425	352	+	SNC1
chrI	88426	88527	101	NA	>SNC1_<MYO4
chrI	88528	92943	4415	-	MYO4
chrI	92944	93572	628	NA	<MYO4_>FRT2
chrI	93573	95159	1586	+	FRT2
chrI	95160	95359	199	NA	>FRT2_>YAL027W
chrI	95360	96145	785	+	YAL027W
chrI	96146	96302	156	NA	>YAL027W_<DRS2
chrI	96303	100370	4067	-	DRS2
chrI	100371	100897	526	NA	<DRS2_<MAK16
chrI	100898	101818	920	-	MAK16
chrI	101819	102238	419	NA	<MAK16_<LTE1
chrI	102239	106546	4307	-	LTE1
chrI	106547	106945	398	NA	<LTE1_<PMT2
chrI	106946	109225	2279	-	PMT2
chrI	109226	109550	324	NA	<PMT2_<FUN26
chrI	109551	111104	1553	-	FUN26
chrI	111105	111519	414	NA	<FUN26_<CCR4
chrI	111520	114033	2513	-	CCR4
chrI	114034	114287	253	NA	<CCR4_<ATS1
chrI	114288	115289	1001	-	ATS1
chrI	115290	115592	302	NA	<ATS1_>FUN30
chrI	115593	118988	3395	+	FUN30
chrI	118989	119237	248	NA	>FUN30_<YAL018C
chrI	119238	120215	977	-	YAL018C
chrI	120216	120898	682	NA	<YAL018C_>PSK1
chrI	120899	124969	4070	+	PSK1
chrI	124970	125552	582	NA	>PSK1_>TPD3
chrI	125553	127460	1907	+	TPD3
chrI	127461	127578	117	NA	>TPD3_<NTG1
chrI	127579	128778	1199	-	NTG1
chrI	128779	128927	148	NA	<NTG1_<SYN8
chrI	128928	129695	767	-	SYN8
chrI	129696	130002	306	NA	<SYN8_>DEP1
chrI	130003	131169	1166	+	DEP1
chrI	131170	131474	304	NA	>DEP1_>CYS3
chrI	131475	132659	1184	+	CYS3
chrI	132660	132835	175	NA	>CYS3_>SWC3
chrI	132836	134752	1916	+	SWC3
chrI	134753	134859	106	NA	>SWC3_<MDM10
chrI	134860	136341	1481	-	MDM10
chrI	136342	136529	187	NA	<MDM10_>SPO7
chrI	136530	137309	779	+	SPO7
chrI	137310	137589	279	NA	>SPO7_>FUN14
chrI	137590	138186	596	+	FUN14
chrI	138187	138373	186	NA	>FUN14_<ERP2
chrI	138374	139021	647	-	ERP2
chrI	139022	139827	805	NA	<ERP2_>tP(UGG)A
chrI	139828	139864	72	+	tP(UGG)A
chrI	139865	139893	28	NA	>tP(UGG)A_intron_>tP(UGG)A
chrI	139894	139930	72	+	tP(UGG)A
chrI	139931	140178	247	NA	>tP(UGG)A_<SSA1
chrI	140179	142107	1928	-	SSA1
chrI	142108	142849	741	NA	<SSA1_>EFB1
chrI	142850	142929	619	+	EFB1
chrI	142930	143295	365	NA	>EFB1_intron_>EFB1
chrI	143296	143836	619	+	EFB1
chrI	143837	144382	545	NA	>EFB1_>VPS8
chrI	144383	148207	3824	+	VPS8
chrI	148208	148269	61	NA	>VPS8_<unannotated
chrI	148270	151371	3101	-	unannotated
chrI	151372	151645	273	NA	<unannotated_<TFC3
chrI	151646	151665	19	-	TFC3
